Country,holidayName,effectLevel
Vietnam,Tết Nguyen Dan (Vietnamese New Year),Low
Vietnam,Tết Eve (Vietnamese New Year),Low
Serbia,Serbian New Year,Low
Macedonia FYRO,Orthodox New Year,Low
Russia,New Year's Holiday Week,Low
Armenia,New Year's Holiday,Low
Serbia,New Year's Holiday,Low
Ukraine,New Year's Day Holiday,Low
United States,New Year's Day (Observed),Meduim
Australia,New Year's Day (Observed),Low
Canada,New Year's Day (Observed),Low
Hong Kong S.A.R.,New Year's Day (Observed),Meduim
Jamaica,New Year's Day (Observed),Low
Japan,New Year's Day (Observed),Low
Kenya,New Year's Day (Observed),Low
Lebanon,New Year's Day (Observed),Low
Macedonia FYRO,New Year's Day (Observed),Low
Nigeria,New Year's Day (Observed),Low
Puerto Rico,New Year's Day (Observed),Low
South Africa,New Year's Day (Observed),Low
Trinidad and Tobago,New Year's Day (Observed),Low
United Kingdom,New Year's Day (Observed),Low
Vietnam,New Year's Day (Observed),Low
Azerbaijan,New Year's Day (Observed),Low
Thailand,New Year's Day (Observed),Low
Angola,New Year's Day (Observed),Low
Bahrain,New Year's Day (Observed),Low
Kuwait,New Year's Day (Observed),Low
Congo (Democratic Republic of),New Year's Day (Observed),Low
Argentina,New Year's Day (bridge),Low
Kazakhstan,New Year's Day (4th Day),Low
Kazakhstan,New Year's Day (3rd Day),Low
United Kingdom,New Year's Day (2nd Day) (Scotland) (Observed),Low
United Kingdom,New Year's Day (2nd Day) (Scotland),Low
Albania,New Year's Day (2nd Day),Low
Azerbaijan,New Year's Day (2nd Day),Low
Georgia,New Year's Day (2nd Day),Low
Kazakhstan,New Year's Day (2nd Day),Low
Montenegro,New Year's Day (2nd Day),Low
Egypt,23rd of July Revolution Day,Low
Romania,New Year's Day (2nd Day),Low
Serbia,New Year's Day (2nd Day),Low
Slovenia,New Year's Day (2nd Day),Low
Korea,New Year's Day - Sinjeong,Low
Albania,New Year's Day,Low
Algeria,New Year's Day,Low
Andorra,New Year's Day,Low
Angola,New Year's Day,Low
Argentina,New Year's Day,Low
Armenia,New Year's Day,Low
Australia,New Year's Day,Low
Austria,New Year's Day,Low
Azerbaijan,New Year's Day,Low
Bahrain,New Year's Day,Low
Belarus,New Year's Day,Low
Belgium,New Year's Day,Low
Bolivia,New Year's Day,Low
Bosnia and Herzegovina,New Year's Day,Low
Brazil,New Year's Day,Low
Brunei,New Year's Day,Low
Bulgaria,New Year's Day,Low
Canada,New Year's Day,Low
Chile,New Year's Day,Low
China,New Year's Day,Meduim
Colombia,New Year's Day,Low
Congo (Democratic Republic of),New Year's Day,Low
Costa Rica,New Year's Day,Low
Croatia,New Year's Day,Low
Cyprus,New Year's Day,Low
Czechia,New Year's Day,Low
Denmark,New Year's Day,Low
Dominican Republic,New Year's Day,Low
Ecuador,New Year's Day,Low
Egypt,New Year's Day,Low
El Salvador,New Year's Day,Low
Equatorial Guinea,New Year's Day,Low
Estonia,New Year's Day,Low
Finland,New Year's Day,Low
France,New Year's Day,Low
Georgia,New Year's Day,Low
Germany,New Year's Day,Low
Greece,New Year's Day,Low
Guatemala,New Year's Day,Low
Honduras,New Year's Day,Low
Hong Kong S.A.R.,New Year's Day,Meduim
Hungary,New Year's Day,Low
Iceland,New Year's Day,Low
Egypt,25th of January Revolution Day,Low
Iraq,New Year's Day,Low
Ireland,New Year's Day,Low
Italy,New Year's Day,Low
Jamaica,New Year's Day,Low
Japan,New Year's Day,Low
Jordan,New Year's Day,Low
Kazakhstan,New Year's Day,Low
Kenya,New Year's Day,Low
Kuwait,New Year's Day,Low
Latvia,New Year's Day,Low
Lebanon,New Year's Day,Low
Liechtenstein,New Year's Day,Low
Lithuania,New Year's Day,Low
Luxembourg,New Year's Day,Low
Macao S.A.R.,New Year's Day,Meduim
Macedonia FYRO,New Year's Day,Low
Malaysia,New Year's Day,Low
Malta,New Year's Day,Low
Mexico,New Year's Day,Low
Moldova,New Year's Day,Low
Monaco,New Year's Day,Low
Montenegro,New Year's Day,Low
Morocco,New Year's Day,Low
Netherlands,New Year's Day,Low
New Zealand,New Year's Day,Low
Nicaragua,New Year's Day,Low
Nigeria,New Year's Day,Low
Norway,New Year's Day,Low
Oman,New Year's Day,Low
Panama,New Year's Day,Low
Paraguay,New Year's Day,Low
Bahrain,Accession Day,Low
Peru,New Year's Day,Low
Bahrain,Accession Day (Observed),Low
Puerto Rico,Administrative Professionals Day,Low
United States,Administrative Professionals Day,Low
Sweden,All Hallows' Eve,Meduim
Andorra,All Saints' Day,Meduim
Austria,All Saints' Day,Meduim
Belgium,All Saints' Day,Meduim
Bosnia and Herzegovina,All Saints' Day,Meduim
Brazil,All Saints' Day,Meduim
Chile,All Saints' Day,Meduim
Christian Religious Holidays,All Saints' Day,Meduim
Croatia,All Saints' Day,Meduim
France,All Saints' Day,Meduim
Germany,All Saints' Day,Meduim
Guatemala,All Saints' Day,Meduim
Holy See (Vatican City),All Saints' Day,Meduim
Hungary,All Saints' Day,Meduim
Italy,All Saints' Day,Meduim
Lebanon,All Saints' Day,Meduim
Liechtenstein,All Saints' Day,Meduim
Lithuania,All Saints' Day,Meduim
Luxembourg,All Saints' Day,Meduim
Mexico,All Saints' Day,Meduim
Monaco,All Saints' Day,Meduim
Nicaragua,All Saints' Day,Meduim
Peru,All Saints' Day,Meduim
Philippines,All Saints' Day,Meduim
Poland,All Saints' Day,Meduim
Portugal,All Saints' Day,Meduim
San Marino,All Saints' Day,Meduim
Slovakia,All Saints' Day,Meduim
Spain,All Saints' Day,Meduim
Switzerland,All Saints' Day,Meduim
Venezuela,All Saints' Day,Meduim
Finland,All Saints' Day,Meduim
Sweden,All Saints' Day,Meduim
Norway,All Saints' Day,Meduim
Colombia,All Saints' Day,Meduim
Venezuela,All Saints' Day Bank Holiday,Meduim
Bosnia and Herzegovina,All Souls' Day,Meduim
Angola,All Souls' Day,Meduim
Belgium,All Souls' Day,Meduim
Bolivia,All Souls' Day,Meduim
Brazil,All Souls' Day,Meduim
Costa Rica,All Souls' Day,Meduim
Ecuador,All Souls' Day,Meduim
El Salvador,All Souls' Day,Meduim
Hungary,All Souls' Day,Meduim
Macao S.A.R.,All Souls' Day,Meduim
Mexico,All Souls' Day,Meduim
San Marino,All Souls' Day,Meduim
Uruguay,All Souls' Day,Meduim
Venezuela,All Souls' Day,Meduim
Angola,All Souls' Day (Observed),Meduim
Iraq,Alponja,Low
Philippines,New Year's Day,Low
Poland,New Year's Day,Low
Portugal,New Year's Day,Low
Costa Rica,Anexión de Guanacaste,Low
San Marino,Anniversary of St. Agatha and Liberation of San Marino,Low
San Marino,Anniversary of the Arengo,Low
Ecuador,Anniversary of the Battle of Pichincha,Low
Mexico,Anniversary of the Battle of Puebla,Low
Mexico,Anniversary of the Constitution,Low
Holy See (Vatican City),Anniversary of the Election of Pope Francis,Low
San Marino,Anniversary of the Foundation of San Marino,Low
Argentina,Anniversary of the May Revolution,Low
Mexico,Anniversary of the Mexican Revolution,Low
Iraq,Anniversary of the Shiite Uprising,Low
Australia,Anzac Day,Low
New Zealand,Anzac Day,Low
Australia,Anzac Day (Observed),Low
Philippines,Aquino Day,Low
Islamic (Shia) Religious Holidays,Arafat,Low
Islamic (Sunni) Religious Holidays,Arafat,Low
Kuwait,Arafat,Low
United Arab Emirates,Arafat,Low
Bahrain,Arafat Day,Low
Bahrain,Arafat Day (Observed),Low
Iran,Arbaeen,Low
Islamic (Shia) Religious Holidays,Arba'een,Low
Brunei,Armed Forces Day,Low
Azerbaijan,Armed Forces Day,Low
Chile,Armed Forces Day,Low
Egypt,Armed Forces Day,Low
Brunei,Armed Forces Day (Observed),Low
Azerbaijan,Armed Forces Day (Observed),Low
Armenia,Armenian Rememberance Day,Low
Serbia,Armistice Day,Low
Belgium,Armistice Day 1918,Low
France,Armistice Day 1918,Low
Iraq,Army Day,Low
Armenia,Army Day,Low
Honduras,Army Day,Low
Congo (Democratic Republic of),Army Day,Low
Guatemala,Army Day,Low
China,Army's Day,Low
Thailand,Asalaha Bucha Day,Low
Thailand,Asalaha Bucha Day (Observed),Low
Andorra,Ascension,Low
Austria,Ascension,Low
Belgium,Ascension,Low
Denmark,Ascension,Low
Finland,Ascension,Low
France,Ascension,Low
Germany,Ascension,Low
Iceland,Ascension,Low
Liechtenstein,Ascension,Low
Luxembourg,Ascension,Low
Monaco,Ascension,Low
Netherlands,Ascension,Low
Norway,Ascension,Low
Sweden,Ascension,Low
Switzerland,Ascension,Low
Colombia,Ascension,Low
Romania,Ascension,Low
Venezuela,Ascension,Low
Christian Religious Holidays,Ascension - Eastern,Low
Christian Religious Holidays,Ascension - Western,Low
Venezuela,Ascension Bank Holiday,Low
Greece,Ash Monday,Low
Brazil,Ash Wednesday,Low
Jamaica,Ash Wednesday,Low
Panama,Ash Wednesday,Low
Poland,Ash Wednesday,Low
Spain,Ash Wednesday,Low
Trinidad and Tobago,Ash Wednesday,Low
Puerto Rico,Ash Wednesday,Low
Christian Religious Holidays,Ash Wednesday - Western,Low
Algeria,Ashoora,Low
Bahrain,Ashoora,Low
Iraq,Ashoora,Low
Islamic (Shia) Religious Holidays,Ashoora,Low
Islamic (Sunni) Religious Holidays,Ashoora,Low
Lebanon,Ashoora,Low
Pakistan,Ashoora,Low
Pakistan,Ashoora (2nd Day),Low
Bahrain,Ashoora (Observed),Low
Lebanon,Ashoora (Observed),Low
Bahrain,Ashoora Eve,Low
Iran,Ashura,Low
Andorra,Assumption,Low
Austria,Assumption,Low
Belgium,Assumption,Low
Bosnia and Herzegovina,Assumption,Low
Chile,Assumption,Low
Christian Religious Holidays,Assumption,Low
Croatia,Assumption,Low
Cyprus,Assumption,Low
France,Assumption,Low
Germany,Assumption,Low
Greece,Assumption,Low
Guatemala,Assumption,Low
Holy See (Vatican City),Assumption,Low
