Country,holidayName,effectLevel
Italy,Assumption,Low
Lebanon,Assumption,Low
Lithuania,Assumption,Low
Luxembourg,Assumption,Low
Malta,Assumption,Low
Monaco,Assumption,Low
Poland,Assumption,Low
Portugal,Assumption,Low
San Marino,Assumption,Low
Slovenia,Assumption,Low
Spain,Assumption,Low
Switzerland,Assumption,Low
Venezuela,Assumption,Low
Colombia,Assumption,Low
Lebanon,Assumption (Observed),Low
Venezuela,Assumption Bank Holiday,Low
Turkey,Atatürk Memorial & Youth and Sports Day,Low
Ireland,August Bank Holiday,Low
United Kingdom,August Bank Holiday (Scotland),Low
Vietnam,August Revolution Commemoration Day,Low
Australia,Australia Day,Low
Australia,Australia Day (Observed),Low
China,Autumn Begins,Low
China,Autumn Equinox,Low
Japan,Autumnal Equinox (Observed),Low
Japan,Autumnal Equinox Day,Low
Malaysia,Awal Muharam,Low
Qatar,Bank Holiday,Low
Uruguay,Bank Holiday (Holy Week),Low
Thailand,Bank Holiday,Low
Chile,Bank Holiday,Low
France,Bastille Day,Low
Peru,Battle of Angamos,Low
Colombia,Battle of Boyacá,Low
Venezuela,Battle of Carabobo,Low
Uruguay,Battle of Las Piedras,Low
Nicaragua,Battle of San Jacinto,Low
United Kingdom,Battle of the Boyne (N. Ireland),Low
United Kingdom,Battle of the Boyne (N. Ireland) (Observed),Low
Mexico,Benito Juarez's Birthday,Low
Argentina,Bicentenary of the Argentine Flag,Low
Uruguay,Birth of Gral. José Gervasio Artigas,Low
Liechtenstein,Birth of Mary,Low
Puerto Rico,Birthday of Don Luis Muñoz Rivera,Low
Puerto Rico,Birthday of Dr. José Celso Barbosa,Low
Puerto Rico,Birthday of Eugenio María de Hostos,Low
Iran,Birthday of Imam Ali,Low
Iran,Birthday of Imam Mahdi,Low
Puerto Rico,Birthday of José de Diego,Low
Puerto Rico,Birthday of Luis Muñoz Marín,Low
United States,Martin Luther King Day,Low
Philippines,Black Saturday,Low
Philippines,Bonifacio Day,Low
Paraguay,Boquerón Battle Day,Low
Australia,Boxing Day,Low
Canada,Boxing Day,Low
Jamaica,Boxing Day,Low
Kenya,Boxing Day,Low
New Zealand,Boxing Day,Low
Nigeria,Boxing Day,Low
Sweden,Boxing Day,Low
Trinidad and Tobago,Boxing Day,Low
United Kingdom,Boxing Day,Low
Australia,Boxing Day Bank Holiday,Meduim
Canada,Boxing Day Bank Holiday,Meduim
New Zealand,Boxing Day Bank Holiday,Meduim
Nigeria,Boxing Day Bank Holiday,Meduim
United Kingdom,Boxing Day Bank Holiday,Meduim
Jamaica,Boxing Day Bank Holiday,Meduim
Kenya,Boxing Day Holiday,Low
Bulgaria,Bridge Bulgarian Army Day (St. George's Day),Low
Bulgaria,Bridge St. Cyril and St. Methodius Day (Education & Culture Day),Low
Canada,British Columbia Day (British Columbia),Meduim
Hong Kong S.A.R.,Buddha's Birthday,Meduim
Macao S.A.R.,Buddha's Birthday,Meduim
Vietnam,Buddha's Birthday,Meduim
Korea,Buddha's Birthday - Seokgatansin-il,Meduim
Bulgaria,Bulgarian Army Day (St. George's Day),Low
Canada,Canada Day,Meduim
Bolivia,Candlemas,Low
Liechtenstein,Candlemas,Low
Kazakhstan,Capital City Day,Meduim
Kazakhstan,Capital City Day (Observed),Meduim
Vietnam,Capital Liberation Day,Meduim
Andorra,Carnival (1st Day),High
Argentina,Carnival (1st Day),High
Bolivia,Carnival (1st Day),High
Brazil,Carnival (1st Day),High
Ecuador,Carnival (1st Day),High
Luxembourg,Carnival (1st Day),High
Panama,Carnival,High
Puerto Rico,Carnival (1st Day),High
Trinidad and Tobago,Carnival (1st Day),High
Uruguay,Carnival (1st Day),High
Venezuela,Carnival (1st Day),High
Angola,Carnival,High
Argentina,Carnival (2nd Day),High
Bolivia,Carnival (2nd Day),High
Brazil,Carnival (2nd Day),High
Ecuador,Carnival (2nd Day),High
Portugal,Carnival,High
Puerto Rico,Carnival (2nd Day),High
Trinidad and Tobago,Carnival (2nd Day),High
Uruguay,Carnival (2nd Day),High
Venezuela,Carnival (2nd Day),High
Croatia,Carnival,High
Spain,Carnival Tuesday,Meduim
Paraguay,Chaco Armistice Day,Low
Thailand,Chakri Day,Meduim
Thailand,Chakri Day (Observed),Meduim
Macao S.A.R.,Cheng Ming Festival,Low
Japan,Children's Day,Meduim
Nigeria,Children's Day,Meduim
China,Children's Day,Meduim
Poland,Children's Day,Meduim
Romania,Children's Day,Meduim
Vietnam,Children's Day,Meduim
Thailand,Children's Day,Meduim
Hungary,Children's Day,Meduim
Nigeria,Children's Day (Observed),Meduim
Singapore,Children's Day,Meduim
Japan,Children's Day (Observed),Meduim
Korea,Children's Day - Eorininal,Meduim
Hong Kong S.A.R.,Ching Ming Festival,Low
Macao S.A.R.,Chong Chao Festival,Low
Macao S.A.R.,Chong Chao Festival (2nd Day),Low
Macao S.A.R.,Chong Yeung Festival,Low
Armenia,Christmas (2nd Day),High
Georgia,Christmas,High
Macedonia FYRO,Christmas,High
Moldova,Christmas,High
Montenegro,Christmas,High
Russia,Christmas,High
Serbia,Christmas,High
Moldova,Christmas (2nd Day),High
Montenegro,Christmas (2nd Day),High
Serbia,Christmas (2nd Day),High
United States,Christmas Eve,High
Congo (Democratic Republic of),Christmas,High
Equatorial Guinea,Christmas,High
Holy See (Vatican City),Christmas,High
Iraq,Christmas,High
Macao S.A.R.,Christmas,High
Nicaragua,Christmas,High
United States,Christmas Day,High
Vietnam,Christmas,High
Bulgaria,Christmas (2nd Day),High
Cyprus,Christmas (2nd Day),High
Denmark,Christmas (2nd Day),High
Estonia,Christmas (2nd Day),High
Germany,Christmas (2nd Day),High
Hungary,Christmas (2nd Day),High
Iceland,Christmas (2nd Day),High
Latvia,Christmas (2nd Day),High
Lithuania,Christmas (2nd Day),High
Norway,Christmas (2nd Day),High
Poland,Christmas (2nd Day),High
Romania,Christmas (2nd Day),High
Slovakia,Christmas (2nd Day),High
United States,Christmas Holiday (Observed),High
Congo (Democratic Republic of),Christmas (Observed),High
Brunei,Christmas (Observed),High
Macao S.A.R.,Christmas (Observed),High
Monaco,Christmas (Observed),High
Bosnia and Herzegovina,Christmas (Catholic),High
Egypt,Christmas (Coptic),High
Belarus,Christmas (Orthodox),High
Bosnia and Herzegovina,Christmas (Orthodox),High
Ukraine,Christmas (Orthodox),High
Ukraine,Christmas (Western),High
Angola,Christmas and Family Day,High
Australia,Christmas Bank Holiday,High
Canada,Christmas Bank Holiday,High
Jamaica,Christmas Bank Holiday,High
Nigeria,Christmas Bank Holiday,High
South Africa,Christmas Bank Holiday,High
United Kingdom,Christmas Bank Holiday,High
Ireland,Christmas Bank Holiday,High
New Zealand,Christmas Bank Holiday,High
Macedonia FYRO,Christmas Bank Holiday,High
Armenia,Christmas Day,High
Kazakhstan,Christmas Day,High
Albania,Christmas Day,High
Andorra,Christmas Day,High
Argentina,Christmas Day,High
Australia,Christmas Day,High
Austria,Christmas Day,High
Belgium,Christmas Day,High
Bolivia,Christmas Day,High
Brazil,Christmas Day,High
Brunei,Christmas Day,High
Bulgaria,Christmas Day,High
Canada,Christmas Day,High
Chile,Christmas Day,High
Colombia,Christmas Day,High
Costa Rica,Christmas Day,High
Croatia,Christmas Day,High
Cyprus,Christmas Day,High
Czechia,Christmas Day,High
Denmark,Christmas Day,High
Dominican Republic,Christmas Day,High
Ecuador,Christmas Day,High
El Salvador,Christmas Day,High
Estonia,Christmas Day,High
Finland,Christmas Day,High
France,Christmas Day,High
Germany,Christmas Day,High
Greece,Christmas Day,High
Guatemala,Christmas Day,High
Honduras,Christmas Day,High
Hong Kong S.A.R.,Christmas Day,High
Hungary,Christmas Day,High
Iceland,Christmas Day,High
Ireland,Christmas Day,High
Italy,Christmas Day,High
Jamaica,Christmas Day,High
Jordan,Christmas Day,High
Kenya,Christmas Day,High
Latvia,Christmas Day,High
Liechtenstein,Christmas Day,High
Lithuania,Christmas Day,High
Luxembourg,Christmas Day,High
Malaysia,Christmas Day,High
Malta,Christmas Day,High
Mexico,Christmas Day,High
Monaco,Christmas Day,High
Netherlands,Christmas Day,High
New Zealand,Christmas Day,High
Nigeria,Christmas Day,High
Norway,Christmas Day,High
Panama,Christmas Day,High
Paraguay,Christmas Day,High
Peru,Christmas Day,High
Philippines,Christmas Day,High
Poland,Christmas Day,High
Portugal,Christmas Day,High
Puerto Rico,Christmas Day,High
Romania,Christmas Day,High
San Marino,Christmas Day,High
Singapore,Christmas Day,High
Slovakia,Christmas Day,High
Slovenia,Christmas Day,High
South Africa,Christmas Day,High
Spain,Christmas Day,High
Sweden,Christmas Day,High
Switzerland,Christmas Day,High
Syria,Christmas Day,High
Thailand,Christmas Day,High
Trinidad and Tobago,Christmas Day,High
United Kingdom,Christmas Day,High
Uruguay,Christmas Day,High
Venezuela,Christmas Day,High
Lebanon,Christmas Day (Observed),High
Lebanon,Christmas Day - Armenian Orthodox,High
Lebanon,Christmas Day - Armenian Orthodox (Observed),High
Christian Religious Holidays,Christmas Day - Eastern,High
Korea,Christmas Day - Seongtanjeol,High
Christian Religious Holidays,Christmas Day - Western,High
Lebanon,Christmas Day - Western,High
Belarus,Christmas Day (Catholic),High
Armenia,Christmas Eve,High
Macedonia FYRO,Christmas Eve,High
Montenegro,Christmas Eve,High
Andorra,Christmas Eve,High
Argentina,Christmas Eve,High
Austria,Christmas Eve,High
Bolivia,Christmas Eve,High
Brazil,Christmas Eve,High
Bulgaria,Christmas Eve,High
Colombia,Christmas Eve,High
Congo (Democratic Republic of),Christmas Eve,High
Costa Rica,Christmas Eve,High
Croatia,Christmas Eve,High
Cyprus,Christmas Eve,High
Czechia,Christmas Eve,High
Denmark,Christmas Eve,High
Dominican Republic,Christmas Eve,High
Ecuador,Christmas Eve,High
El Salvador,Christmas Eve,High
Equatorial Guinea,Christmas Eve,High
Estonia,Christmas Eve,High
Finland,Christmas Eve,High
France,Christmas Eve,High
Germany,Christmas Eve,High
Greece,Christmas Eve,High
Guatemala,Christmas Eve,High
Honduras,Christmas Eve,High
Iceland,Christmas Eve,High
Ireland,Christmas Eve,High
Latvia,Christmas Eve,High
Liechtenstein,Christmas Eve,High
Lithuania,Christmas Eve,High
Luxembourg,Christmas Eve,High
Macao S.A.R.,Christmas Eve,High
Malta,Christmas Eve,High
Mexico,Christmas Eve,High
Monaco,Christmas Eve,High
Nigeria,Christmas Eve,High
Norway,Christmas Eve,High
Panama,Christmas Eve,High
Paraguay,Christmas Eve,High
Peru,Christmas Eve,High
Philippines,Christmas Eve,High
Poland,Christmas Eve,High
Portugal,Christmas Eve,High
Puerto Rico,Christmas Eve,High
San Marino,Christmas Eve,High
Slovakia,Christmas Eve,High
South Africa,Christmas Eve,High
Spain,Christmas Eve,High
Sweden,Christmas Eve,High
Venezuela,Christmas Eve,High
Bosnia and Herzegovina,Christmas Eve (Orthodox),High
Serbia,Christmas Holiday,High
Angola,Christmas Holiday,High
Bolivia,Christmas Holiday,High
Puerto Rico,Christmas Holiday,High
Singapore,Christmas Holiday,High
Kenya,Christmas Holiday,High
Trinidad and Tobago,Christmas Holiday,High
Ukraine,Christmas Holiday (Orthodox),High
Thailand,Chulalongkorn Day,Low
Thailand,Chulalongkorn Day (Observed),Low
Hong Kong S.A.R.,Chung Yeung Festival,Low
Canada,Civic Holiday (many provinces),Low
Panama,Colón Day,Low
China,Cold Dews,Low
Honduras,Columbus Day,Meduim
Mexico,Columbus Day,Meduim
Paraguay,Columbus Day,Meduim
United States,Columbus Day,Meduim
Puerto Rico,Columbus Day,Meduim
Chile,Columbus Day,Meduim
Colombia,Columbus Day,Meduim
Japan,Coming of Age Day,Low
Algeria,Commemoration Day,Low
Belarus,Commemoration Day,Low
Argentina,Commemoration of General Don Martín Miguel de Güemes,Low
Morocco,Commemoration of Green March,Low
Morocco,Commemoration of Wadi Al-Dahab,Low
Iceland,Commerce Day,Low
Andorra,Constitution Day,Low
Belarus,Constitution Day,Low
Montenegro,Constitution Day,Low
Japan,Constitution Day,Low
Poland,Constitution Day,Low
Norway,Constitution Day,Low
Denmark,Constitution Day,Low
Ukraine,Constitution Day,Low
Armenia,Constitution Day,Low
Uruguay,Constitution Day,Low
Puerto Rico,Constitution Day,Low
Equatorial Guinea,Constitution Day,Low
Kazakhstan,Constitution Day,Low
Slovakia,Constitution Day,Low
Spain,Constitution Day,Low
Thailand,Constitution Day,Low
Dominican Republic,Constitution Day,Low
Ukraine,Constitution Day (Observed),Low
Kazakhstan,Constitution Day (Observed),Low
Japan,Constitution Day (Observed),Low
Thailand,Constitution Day (Observed),Low
Korea,Constitution Day - Jeheonjeol,Low
Thailand,Coronation Day,Low
Thailand,Coronation Day (Observed),Low
Austria,Corpus Christi,Meduim
Bolivia,Corpus Christi,Meduim
Brazil,Corpus Christi,Meduim
Croatia,Corpus Christi,Meduim
Dominican Republic,Corpus Christi,Meduim
Germany,Corpus Christi,Meduim
Liechtenstein,Corpus Christi,Meduim
Monaco,Corpus Christi,Meduim
Poland,Corpus Christi,Meduim
Portugal,Corpus Christi,Meduim
San Marino,Corpus Christi,Meduim
Spain,Corpus Christi,Meduim
Switzerland,Corpus Christi,Meduim
Trinidad and Tobago,Corpus Christi,Meduim
Colombia,Corpus Christi,Meduim
Equatorial Guinea,Corpus Christi,Meduim
Venezuela,Corpus Christi,Meduim
Venezuela,Corpus Christi Bank Holiday,Meduim
Croatia,Croatian Uprising Day,Low
Slovenia,Culture Day,Low
Japan,Culture Day,Low
Japan,Culture Day (Observed),Low
Czechia,Czech Statehood Day (St. Wenceslas Day),Low
Czechia,Czechoslovak Independence Day,Low
Netherlands,Day After Ascension,Low
Puerto Rico,Day After Thanksgiving Day,Low
United States,Day After Thanksgiving Day,Low
Argentina,Day of Action for Tolerance and Respect among People,Low
Czechia,Day of Freedom and Democracy,Low
Germany,Day of German Unity,Low
South Africa,Day of Goodwill,Low
South Africa,Day of Goodwill (Observed),Low
Paraguay,Day of Heroes,Low
Venezuela,Day of Indigenous Resistance,Low
Argentina,Day of National Sovereignty,Low
Argentina,Day of National Sovereignty Public Holiday,Low
Germany,Day of Prayer and Repentance,Low
South Africa,Day of Reconciliation,Low
South Africa,Day of Reconciliation (Observed),Low
Belarus,Day of Remembrance,Low
Argentina,Day of Remembrance for Truth and Justice,Low
Argentina,Day of Remembrance for Truth and Justice (bridge),Low
Argentina,Day of Respect to Cultural Diversity,Low
Argentina,Day of Respect to Cultural Diversity Public Holiday,Low
Costa Rica,Day of the Cultures,Low
Slovakia,Day of the Establishment of the Slovak Republic,Low
Mexico,Day of the Holy Innocents,Low
Puerto Rico,Day of the Innocents,Low
Bulgaria,Day of the Leaders of the Bulgarian National Revival,Low
Bulgaria,Day of the Leaders of the Bulgarian National Revival (bridge),Low
Macedonia FYRO,Day of the Macedonian Revolution,Low
Macedonia FYRO,Day of the Macedonian Revolution (Observed),Low
Congo (Democratic Republic of),Day of the Martyrs,Low
Congo (Democratic Republic of),Day of the Martyrs (Observed),Low
Belarus,Day of the National Emblem and Flag of Belarus,Low
Russia,Day of the National Unity,Low
Russia,Day of the National Unity (Observed),Low
Mexico,Day of the President's Report,Low
Uruguay,Day of the Race,Low
Hungary,Day of the Revolution,Low
Bulgaria,Day of the Union of Bulgaria,Low
Bulgaria,Day of the Union of Bulgaria (bridge),Low
Argentina,Day of the Veterans,Low
Argentina,Day of the Veterans (bridge),Low
Philippines,Day of Valor,Low
Venezuela,Declaration of Independence Day,Low
Malaysia,Deepavali,Meduim
Singapore,Deepavali,Meduim
Kazakhstan,Defender of the Fatherland Day,Low
Kazakhstan,Defender of the Fatherland Day (Observed),Low
Lithuania,Defenders of Freedom Day,Low
Ukraine,Defenders of Ukraine Day,Low
Iran,Demise of Prophet Mohammed,Low
Turkey,Democracy and National Solidarity Day,Low
Nigeria,Democracy Day,Low
Nigeria,Democracy Day (Observed),Low
Canada,Discovery Day (Newfoundland and Labrador),Low
Canada,Discovery Day (Yukon),Low
Puerto Rico,Discovery of Puerto Rico,Low
Trinidad and Tobago,Diwali,Meduim
Trinidad and Tobago,Diwali (Observed),Meduim
Armenia,Dormition,Meduim
Christian Religious Holidays,Dormition,Meduim
Romania,Dormition,Meduim
Bosnia and Herzegovina,Dormition,Meduim
Macedonia FYRO,Dormition,Meduim
Macedonia FYRO,Dormition (Observed),Meduim
China,Double Ninth Festival,Low
China,Dragon Boat Festival,Low
Albania,Easter (Catholic),Meduim
Bosnia and Herzegovina,Easter (Catholic),Meduim
Syria,Easter (Gregorian),Meduim
Albania,Easter (Orthodox),Meduim
Bosnia and Herzegovina,Easter (Orthodox),Meduim
Syria,Easter (Orthodox),Meduim
Andorra,Easter Day,Meduim
Angola,Easter Day,Meduim
Armenia,Easter Day,Meduim
Australia,Easter Day,Meduim
Austria,Easter Day,Meduim
Belgium,Easter Day,Meduim
Bolivia,Easter Day,Meduim
Brazil,Easter Day,Meduim
Canada,Easter Day,Meduim
Chile,Easter Day,Meduim
Colombia,Easter Day,Meduim
Costa Rica,Easter Day,Meduim
Croatia,Easter Day,Meduim
Czechia,Easter Day,Meduim
Dominican Republic,Easter Day,Meduim
Ecuador,Easter Day,Meduim
El Salvador,Easter Day,Meduim
Estonia,Easter Day,Meduim
Finland,Easter Day,Meduim
Germany,Easter Day,Meduim
Guatemala,Easter Day,Meduim
Honduras,Easter Day,Meduim
Hong Kong S.A.R.,Easter Day,Meduim
Hungary,Easter Day,Meduim
Iceland,Easter Day,Meduim
Iraq,Easter Day,Meduim
Jamaica,Easter Day,Meduim
Kenya,Easter Day,Meduim
Liechtenstein,Easter Day,Meduim
Lithuania,Easter Day,Meduim
Macao S.A.R.,Easter Day,Meduim
Malta,Easter Day,Meduim
Mexico,Easter Day,Meduim
Monaco,Easter Day,Meduim
Netherlands,Easter Day,Meduim
New Zealand,Easter Day,Meduim
Nigeria,Easter Day,Meduim
Panama,Easter Day,Meduim
Paraguay,Easter Day,Meduim
Peru,Easter Day,Meduim
Poland,Easter Day,Meduim
Portugal,Easter Day,Meduim
